video_path_A,categ_A,subj_A,video_path_B,categ_B,subj_B
mug_pre2_test/5/user044_take001_04,5,25,mug_pre2_test/0/user052_take002_05,0,30
mug_pre2_test/2/user027_take002_00,2,11,mug_pre2_test/1/user061_take005_00,1,33
mug_pre2_test/1/user075_take002_05,1,44,mug_pre2_test/0/user082_take002_00,0,49
mug_pre2_test/4/user070_take001_01,4,39,mug_pre2_test/0/user044_take001_03,0,25
mug_pre2_test/2/user063_take002_00,2,35,mug_pre2_test/4/user044_take001_05,4,25
mug_pre2_test/0/user020_take000_00,0,9,mug_pre2_test/2/user079_take003_03,2,48
mug_pre2_test/1/user066_take002_04,1,38,mug_pre2_test/5/user046_take000_02,5,27
mug_pre2_test/1/user048_take000_02,1,28,mug_pre2_test/1/user075_take003_06,1,44
mug_pre2_test/4/user071_take001_03,4,40,mug_pre2_test/5/user046_take002_06,5,27
mug_pre2_test/4/user014_take001_01,4,7,mug_pre2_test/1/user060_take000_02,1,32
mug_pre2_test/5/user078_take003_04,5,47,mug_pre2_test/4/user027_take001_01,4,11
mug_pre2_test/2/user001_take005_00,2,0,mug_pre2_test/0/user017_take002_01,0,8
mug_pre2_test/3/user028_take000_03,3,12,mug_pre2_test/5/user075_take004_01,5,44
mug_pre2_test/5/user060_take000_04,5,32,mug_pre2_test/5/user037_take000_02,5,19
mug_pre2_test/5/user044_take000_09,5,25,mug_pre2_test/0/user078_take002_04,0,47
mug_pre2_test/4/user066_take000_03,4,38,mug_pre2_test/1/user078_take003_02,1,47
mug_pre2_test/0/user064_take003_00,0,36,mug_pre2_test/1/user014_take001_02,1,7
mug_pre2_test/3/user073_take002_00,3,42,mug_pre2_test/5/user070_take003_02,5,39
mug_pre2_test/4/user036_take001_01,4,18,mug_pre2_test/2/user032_take002_00,2,15
mug_pre2_test/3/user020_take001_03,3,9,mug_pre2_test/5/user046_take000_00,5,27
mug_pre2_test/2/user033_take002_06,2,16,mug_pre2_test/4/user033_take004_04,4,16
mug_pre2_test/2/user046_take000_03,2,27,mug_pre2_test/4/user079_take002_05,4,48
mug_pre2_test/1/user001_take003_02,1,0,mug_pre2_test/4/user038_take000_04,4,20
mug_pre2_test/4/user036_take003_02,4,18,mug_pre2_test/4/user013_take002_00,4,6
mug_pre2_test/0/user040_take000_05,0,22,mug_pre2_test/1/user028_take003_02,1,12
mug_pre2_test/5/user048_take002_00,5,28,mug_pre2_test/5/user042_take001_03,5,23
mug_pre2_test/5/user055_take003_03,5,31,mug_pre2_test/0/user033_take001_01,0,16
mug_pre2_test/1/user014_take000_01,1,7,mug_pre2_test/5/user033_take003_01,5,16
mug_pre2_test/2/user033_take003_02,2,16,mug_pre2_test/0/user043_take002_02,0,24
mug_pre2_test/5/user083_take002_01,5,50,mug_pre2_test/5/user044_take000_06,5,25
mug_pre2_test/1/user066_take001_00,1,38,mug_pre2_test/1/user034_take000_00,1,17
mug_pre2_test/2/user030_take000_02,2,13,mug_pre2_test/0/user048_take002_06,0,28
mug_pre2_test/0/user060_take000_02,0,32,mug_pre2_test/1/user039_take002_02,1,21
mug_pre2_test/1/user062_take000_01,1,34,mug_pre2_test/4/user045_take001_02,4,26
mug_pre2_test/2/user084_take002_02,2,51,mug_pre2_test/0/user064_take002_02,0,36
mug_pre2_test/0/user072_take003_06,0,41,mug_pre2_test/2/user042_take000_03,2,23
mug_pre2_test/3/user006_take001_00,3,2,mug_pre2_test/1/user033_take002_04,1,16
mug_pre2_test/1/user063_take000_01,1,35,mug_pre2_test/3/user071_take000_02,3,40
mug_pre2_test/2/user013_take000_01,2,6,mug_pre2_test/5/user014_take003_04,5,7
mug_pre2_test/1/user063_take002_00,1,35,mug_pre2_test/2/user042_take002_02,2,23
mug_pre2_test/1/user017_take000_01,1,8,mug_pre2_test/2/user083_take001_01,2,50
mug_pre2_test/1/user031_take002_01,1,14,mug_pre2_test/2/user046_take002_04,2,27
mug_pre2_test/0/user042_take002_02,0,23,mug_pre2_test/3/user048_take000_07,3,28
mug_pre2_test/2/user045_take001_00,2,26,mug_pre2_test/0/user033_take002_04,0,16
mug_pre2_test/2/user006_take004_00,2,2,mug_pre2_test/1/user064_take002_01,1,36
mug_pre2_test/1/user033_take002_00,1,16,mug_pre2_test/2/user063_take001_02,2,35
mug_pre2_test/3/user062_take001_01,3,34,mug_pre2_test/1/user063_take002_01,1,35
mug_pre2_test/5/user021_take001_00,5,10,mug_pre2_test/5/user079_take000_01,5,48
mug_pre2_test/1/user076_take003_04,1,45,mug_pre2_test/4/user045_take000_03,4,26
mug_pre2_test/2/user032_take001_01,2,15,mug_pre2_test/0/user046_take001_05,0,27
mug_pre2_test/5/user030_take001_03,5,13,mug_pre2_test/1/user021_take001_00,1,10
mug_pre2_test/3/user082_take002_06,3,49,mug_pre2_test/2/user001_take003_02,2,0
mug_pre2_test/1/user028_take000_01,1,12,mug_pre2_test/5/user033_take004_09,5,16
mug_pre2_test/1/user062_take002_02,1,34,mug_pre2_test/1/user046_take001_00,1,27
mug_pre2_test/5/user043_take002_03,5,24,mug_pre2_test/5/user048_take000_05,5,28
mug_pre2_test/5/user075_take003_05,5,44,mug_pre2_test/0/user038_take000_00,0,20
mug_pre2_test/1/user028_take004_02,1,12,mug_pre2_test/0/user066_take000_03,0,38
mug_pre2_test/4/user006_take001_01,4,2,mug_pre2_test/4/user076_take001_00,4,45
mug_pre2_test/0/user008_take002_04,0,4,mug_pre2_test/5/user028_take001_01,5,12
mug_pre2_test/5/user048_take003_03,5,28,mug_pre2_test/0/user044_take000_06,0,25
mug_pre2_test/2/user014_take000_04,2,7,mug_pre2_test/5/user055_take002_03,5,31
mug_pre2_test/3/user082_take003_04,3,49,mug_pre2_test/5/user001_take004_01,5,0
mug_pre2_test/2/user079_take001_01,2,48,mug_pre2_test/2/user073_take001_01,2,42
mug_pre2_test/5/user076_take000_01,5,45,mug_pre2_test/2/user033_take002_03,2,16
mug_pre2_test/1/user044_take001_09,1,25,mug_pre2_test/1/user060_take001_00,1,32
mug_pre2_test/1/user075_take000_01,1,44,mug_pre2_test/0/user048_take001_00,0,28
mug_pre2_test/0/user083_take001_01,0,50,mug_pre2_test/4/user008_take000_06,4,4
mug_pre2_test/5/user036_take003_00,5,18,mug_pre2_test/2/user044_take000_10,2,25
mug_pre2_test/4/user028_take002_01,4,12,mug_pre2_test/1/user044_take003_06,1,25
mug_pre2_test/5/user044_take001_07,5,25,mug_pre2_test/2/user010_take000_01,2,5
mug_pre2_test/5/user020_take001_03,5,9,mug_pre2_test/4/user048_take002_07,4,28
mug_pre2_test/0/user044_take000_10,0,25,mug_pre2_test/5/user048_take000_04,5,28
mug_pre2_test/3/user032_take002_00,3,15,mug_pre2_test/4/user001_take006_01,4,0
mug_pre2_test/5/user046_take003_02,5,27,mug_pre2_test/5/user061_take000_02,5,33
mug_pre2_test/2/user001_take004_00,2,0,mug_pre2_test/1/user072_take003_00,1,41
mug_pre2_test/1/user078_take002_02,1,47,mug_pre2_test/2/user020_take000_03,2,9
mug_pre2_test/0/user036_take001_00,0,18,mug_pre2_test/1/user084_take002_00,1,51
mug_pre2_test/2/user079_take002_02,2,48,mug_pre2_test/3/user037_take002_01,3,19
mug_pre2_test/5/user033_take004_03,5,16,mug_pre2_test/0/user060_take001_02,0,32
mug_pre2_test/4/user065_take003_00,4,37,mug_pre2_test/5/user038_take001_01,5,20
mug_pre2_test/4/user044_take001_02,4,25,mug_pre2_test/2/user033_take002_07,2,16
mug_pre2_test/5/user045_take003_01,5,26,mug_pre2_test/2/user074_take004_00,2,43
mug_pre2_test/5/user048_take001_01,5,28,mug_pre2_test/0/user076_take002_03,0,45
mug_pre2_test/2/user008_take001_02,2,4,mug_pre2_test/0/user037_take005_08,0,19
mug_pre2_test/5/user033_take005_00,5,16,mug_pre2_test/0/user072_take003_02,0,41
mug_pre2_test/3/user008_take002_00,3,4,mug_pre2_test/3/user048_take000_08,3,28
mug_pre2_test/3/user061_take002_00,3,33,mug_pre2_test/2/user055_take002_04,2,31
mug_pre2_test/1/user075_take004_02,1,44,mug_pre2_test/0/user074_take000_00,0,43
mug_pre2_test/5/user070_take000_01,5,39,mug_pre2_test/1/user048_take002_00,1,28
mug_pre2_test/0/user071_take000_00,0,40,mug_pre2_test/5/user082_take000_02,5,49
mug_pre2_test/0/user027_take001_02,0,11,mug_pre2_test/5/user064_take001_02,5,36
mug_pre2_test/3/user020_take002_00,3,9,mug_pre2_test/0/user065_take001_01,0,37
mug_pre2_test/1/user038_take000_01,1,20,mug_pre2_test/2/user063_take001_01,2,35
mug_pre2_test/2/user077_take002_02,2,46,mug_pre2_test/5/user044_take001_09,5,25
mug_pre2_test/5/user084_take001_02,5,51,mug_pre2_test/2/user071_take000_00,2,40
mug_pre2_test/2/user055_take001_04,2,31,mug_pre2_test/3/user033_take002_04,3,16
mug_pre2_test/3/user030_take002_00,3,13,mug_pre2_test/2/user017_take001_04,2,8
mug_pre2_test/3/user020_take001_00,3,9,mug_pre2_test/5/user027_take001_00,5,11
mug_pre2_test/1/user048_take001_03,1,28,mug_pre2_test/2/user045_take001_02,2,26
mug_pre2_test/4/user032_take003_04,4,15,mug_pre2_test/2/user066_take002_07,2,38
mug_pre2_test/5/user066_take000_02,5,38,mug_pre2_test/0/user066_take000_07,0,38
mug_pre2_test/0/user032_take001_03,0,15,mug_pre2_test/5/user072_take001_04,5,41
mug_pre2_test/5/user033_take005_02,5,16,mug_pre2_test/5/user052_take000_03,5,30
mug_pre2_test/0/user007_take000_01,0,3,mug_pre2_test/3/user032_take001_00,3,15
mug_pre2_test/5/user045_take001_02,5,26,mug_pre2_test/2/user007_take000_02,2,3
mug_pre2_test/5/user006_take002_00,5,2,mug_pre2_test/2/user033_take000_01,2,16
mug_pre2_test/1/user044_take000_04,1,25,mug_pre2_test/0/user077_take002_02,0,46
mug_pre2_test/5/user008_take000_08,5,4,mug_pre2_test/3/user043_take000_03,3,24
mug_pre2_test/5/user062_take002_00,5,34,mug_pre2_test/5/user046_take002_05,5,27
mug_pre2_test/2/user083_take001_03,2,50,mug_pre2_test/2/user032_take001_04,2,15
mug_pre2_test/0/user076_take002_08,0,45,mug_pre2_test/4/user084_take000_01,4,51
mug_pre2_test/5/user027_take002_00,5,11,mug_pre2_test/4/user043_take004_01,4,24
mug_pre2_test/4/user063_take003_00,4,35,mug_pre2_test/3/user044_take002_08,3,25
mug_pre2_test/1/user001_take000_01,1,0,mug_pre2_test/1/user027_take002_01,1,11
mug_pre2_test/0/user045_take001_01,0,26,mug_pre2_test/1/user064_take002_03,1,36
mug_pre2_test/5/user078_take004_02,5,47,mug_pre2_test/2/user082_take001_07,2,49
mug_pre2_test/5/user032_take000_02,5,15,mug_pre2_test/0/user036_take001_01,0,18
mug_pre2_test/1/user083_take000_00,1,50,mug_pre2_test/4/user052_take002_00,4,30
mug_pre2_test/1/user036_take001_04,1,18,mug_pre2_test/0/user048_take002_03,0,28
mug_pre2_test/4/user017_take002_03,4,8,mug_pre2_test/0/user060_take000_01,0,32
mug_pre2_test/1/user037_take001_02,1,19,mug_pre2_test/1/user040_take002_01,1,22
mug_pre2_test/3/user007_take001_02,3,3,mug_pre2_test/2/user036_take002_02,2,18
mug_pre2_test/2/user071_take002_02,2,40,mug_pre2_test/0/user040_take001_02,0,22
mug_pre2_test/4/user040_take001_00,4,22,mug_pre2_test/0/user014_take001_06,0,7
mug_pre2_test/2/user001_take000_02,2,0,mug_pre2_test/4/user042_take000_00,4,23
mug_pre2_test/0/user001_take002_02,0,0,mug_pre2_test/1/user037_take000_04,1,19
mug_pre2_test/3/user078_take002_03,3,47,mug_pre2_test/2/user060_take002_02,2,32
mug_pre2_test/5/user044_take000_04,5,25,mug_pre2_test/0/user046_take000_03,0,27
mug_pre2_test/2/user079_take004_06,2,48,mug_pre2_test/3/user066_take002_07,3,38
mug_pre2_test/2/user008_take000_03,2,4,mug_pre2_test/3/user031_take004_01,3,14
mug_pre2_test/0/user032_take002_01,0,15,mug_pre2_test/2/user031_take002_03,2,14
mug_pre2_test/1/user060_take002_03,1,32,mug_pre2_test/4/user014_take000_00,4,7
mug_pre2_test/0/user078_take001_03,0,47,mug_pre2_test/5/user075_take002_02,5,44
mug_pre2_test/0/user036_take004_01,0,18,mug_pre2_test/0/user046_take001_08,0,27
mug_pre2_test/2/user078_take000_03,2,47,mug_pre2_test/1/user062_take001_02,1,34
mug_pre2_test/1/user055_take004_02,1,31,mug_pre2_test/4/user014_take000_02,4,7
mug_pre2_test/2/user072_take001_04,2,41,mug_pre2_test/2/user061_take003_02,2,33
mug_pre2_test/0/user060_take000_04,0,32,mug_pre2_test/1/user046_take002_08,1,27
mug_pre2_test/3/user044_take000_02,3,25,mug_pre2_test/0/user014_take000_06,0,7
mug_pre2_test/5/user052_take002_01,5,30,mug_pre2_test/4/user001_take006_04,4,0
mug_pre2_test/0/user033_take003_01,0,16,mug_pre2_test/2/user020_take000_02,2,9
mug_pre2_test/4/user075_take001_06,4,44,mug_pre2_test/0/user036_take003_05,0,18
mug_pre2_test/0/user001_take003_00,0,0,mug_pre2_test/0/user046_take003_04,0,27
mug_pre2_test/0/user070_take000_01,0,39,mug_pre2_test/2/user008_take001_00,2,4
mug_pre2_test/0/user044_take000_05,0,25,mug_pre2_test/2/user014_take001_00,2,7
mug_pre2_test/0/user044_take003_06,0,25,mug_pre2_test/2/user079_take002_00,2,48
mug_pre2_test/2/user045_take002_00,2,26,mug_pre2_test/1/user046_take000_00,1,27
mug_pre2_test/4/user078_take003_03,4,47,mug_pre2_test/2/user033_take001_05,2,16
mug_pre2_test/2/user045_take000_00,2,26,mug_pre2_test/0/user066_take002_00,0,38
mug_pre2_test/2/user037_take001_02,2,19,mug_pre2_test/3/user052_take001_03,3,30
mug_pre2_test/4/user033_take005_06,4,16,mug_pre2_test/2/user061_take003_00,2,33
mug_pre2_test/2/user030_take003_02,2,13,mug_pre2_test/4/user052_take002_02,4,30
mug_pre2_test/5/user013_take001_00,5,6,mug_pre2_test/3/user066_take000_09,3,38
mug_pre2_test/2/user076_take000_01,2,45,mug_pre2_test/4/user044_take001_04,4,25
mug_pre2_test/4/user044_take004_11,4,25,mug_pre2_test/2/user082_take001_02,2,49
mug_pre2_test/4/user033_take005_07,4,16,mug_pre2_test/0/user008_take001_03,0,4
mug_pre2_test/4/user033_take001_03,4,16,mug_pre2_test/0/user044_take000_03,0,25
mug_pre2_test/2/user007_take001_02,2,3,mug_pre2_test/2/user031_take000_01,2,14
mug_pre2_test/0/user046_take002_03,0,27,mug_pre2_test/0/user040_take000_02,0,22
mug_pre2_test/2/user028_take000_01,2,12,mug_pre2_test/2/user030_take001_02,2,13
mug_pre2_test/1/user040_take001_05,1,22,mug_pre2_test/5/user078_take004_05,5,47
mug_pre2_test/4/user031_take000_00,4,14,mug_pre2_test/2/user043_take000_00,2,24
mug_pre2_test/2/user075_take002_04,2,44,mug_pre2_test/2/user034_take003_00,2,17
mug_pre2_test/2/user079_take004_03,2,48,mug_pre2_test/5/user032_take001_02,5,15
mug_pre2_test/1/user066_take002_01,1,38,mug_pre2_test/3/user028_take000_00,3,12
mug_pre2_test/1/user033_take002_03,1,16,mug_pre2_test/1/user039_take001_00,1,21
mug_pre2_test/5/user070_take003_00,5,39,mug_pre2_test/0/user042_take000_01,0,23
mug_pre2_test/3/user017_take001_03,3,8,mug_pre2_test/1/user028_take000_03,1,12
mug_pre2_test/0/user028_take000_00,0,12,mug_pre2_test/3/user021_take001_03,3,10
mug_pre2_test/5/user071_take002_01,5,40,mug_pre2_test/5/user060_take000_02,5,32
mug_pre2_test/5/user028_take000_02,5,12,mug_pre2_test/0/user082_take000_05,0,49
mug_pre2_test/0/user043_take001_01,0,24,mug_pre2_test/5/user073_take002_01,5,42
mug_pre2_test/5/user042_take003_02,5,23,mug_pre2_test/0/user082_take002_05,0,49
mug_pre2_test/0/user073_take002_05,0,42,mug_pre2_test/3/user008_take002_03,3,4
mug_pre2_test/2/user082_take001_00,2,49,mug_pre2_test/0/user066_take000_01,0,38
mug_pre2_test/5/user064_take000_01,5,36,mug_pre2_test/0/user071_take001_02,0,40
mug_pre2_test/2/user043_take002_00,2,24,mug_pre2_test/2/user001_take001_02,2,0
mug_pre2_test/1/user040_take001_03,1,22,mug_pre2_test/0/user079_take005_06,0,48
mug_pre2_test/2/user014_take000_00,2,7,mug_pre2_test/3/user031_take003_01,3,14
mug_pre2_test/2/user073_take000_03,2,42,mug_pre2_test/3/user044_take001_06,3,25
mug_pre2_test/3/user033_take002_02,3,16,mug_pre2_test/4/user077_take001_04,4,46
mug_pre2_test/1/user021_take000_00,1,10,mug_pre2_test/2/user001_take002_07,2,0
mug_pre2_test/0/user064_take000_01,0,36,mug_pre2_test/1/user013_take002_00,1,6
mug_pre2_test/0/user076_take002_02,0,45,mug_pre2_test/3/user044_take003_07,3,25
mug_pre2_test/4/user038_take000_00,4,20,mug_pre2_test/5/user046_take003_04,5,27
mug_pre2_test/3/user017_take000_00,3,8,mug_pre2_test/5/user055_take003_00,5,31
mug_pre2_test/4/user008_take002_03,4,4,mug_pre2_test/1/user065_take003_02,1,37
mug_pre2_test/5/user032_take001_01,5,15,mug_pre2_test/3/user043_take000_04,3,24
mug_pre2_test/1/user010_take001_01,1,5,mug_pre2_test/2/user013_take002_02,2,6
mug_pre2_test/4/user052_take000_05,4,30,mug_pre2_test/0/user020_take002_00,0,9
mug_pre2_test/0/user082_take001_00,0,49,mug_pre2_test/1/user046_take002_07,1,27
mug_pre2_test/4/user014_take001_02,4,7,mug_pre2_test/2/user031_take000_02,2,14
mug_pre2_test/4/user045_take000_04,4,26,mug_pre2_test/1/user021_take002_01,1,10
mug_pre2_test/5/user066_take002_01,5,38,mug_pre2_test/0/user045_take000_00,0,26
mug_pre2_test/4/user020_take001_00,4,9,mug_pre2_test/0/user064_take002_01,0,36
mug_pre2_test/4/user066_take000_00,4,38,mug_pre2_test/1/user044_take000_00,1,25
mug_pre2_test/0/user006_take000_02,0,2,mug_pre2_test/0/user044_take001_00,0,25
mug_pre2_test/1/user082_take001_02,1,49,mug_pre2_test/2/user027_take000_00,2,11
mug_pre2_test/1/user064_take002_02,1,36,mug_pre2_test/1/user001_take000_04,1,0
mug_pre2_test/5/user033_take005_04,5,16,mug_pre2_test/2/user075_take001_00,2,44
mug_pre2_test/3/user066_take002_00,3,38,mug_pre2_test/0/user020_take002_03,0,9
mug_pre2_test/3/user042_take003_01,3,23,mug_pre2_test/0/user013_take001_03,0,6
mug_pre2_test/4/user039_take004_01,4,21,mug_pre2_test/2/user020_take001_01,2,9
mug_pre2_test/0/user044_take000_01,0,25,mug_pre2_test/4/user044_take002_01,4,25
mug_pre2_test/1/user070_take000_00,1,39,mug_pre2_test/1/user046_take002_05,1,27
mug_pre2_test/1/user075_take002_03,1,44,mug_pre2_test/0/user034_take000_01,0,17
mug_pre2_test/3/user031_take005_02,3,14,mug_pre2_test/4/user048_take002_06,4,28
mug_pre2_test/5/user048_take003_08,5,28,mug_pre2_test/2/user078_take001_03,2,47
mug_pre2_test/0/user079_take005_01,0,48,mug_pre2_test/0/user061_take003_01,0,33
mug_pre2_test/5/user033_take005_03,5,16,mug_pre2_test/3/user044_take002_05,3,25
mug_pre2_test/2/user045_take001_05,2,26,mug_pre2_test/2/user062_take003_02,2,34
mug_pre2_test/1/user045_take001_04,1,26,mug_pre2_test/5/user046_take003_06,5,27
mug_pre2_test/5/user061_take000_01,5,33,mug_pre2_test/3/user034_take000_02,3,17
mug_pre2_test/5/user038_take000_00,5,20,mug_pre2_test/5/user077_take002_00,5,46
mug_pre2_test/0/user046_take001_07,0,27,mug_pre2_test/5/user073_take001_00,5,42
mug_pre2_test/3/user033_take000_04,3,16,mug_pre2_test/5/user082_take002_03,5,49
mug_pre2_test/3/user044_take000_00,3,25,mug_pre2_test/5/user007_take002_01,5,3
mug_pre2_test/4/user032_take002_01,4,15,mug_pre2_test/2/user032_take001_02,2,15
mug_pre2_test/1/user083_take001_01,1,50,mug_pre2_test/5/user064_take001_00,5,36
mug_pre2_test/5/user070_take003_03,5,39,mug_pre2_test/0/user083_take003_00,0,50
mug_pre2_test/4/user048_take000_02,4,28,mug_pre2_test/4/user032_take003_02,4,15
mug_pre2_test/4/user001_take004_00,4,0,mug_pre2_test/0/user046_take003_07,0,27
mug_pre2_test/3/user061_take001_00,3,33,mug_pre2_test/4/user044_take004_00,4,25
mug_pre2_test/4/user076_take000_02,4,45,mug_pre2_test/5/user040_take001_00,5,22
mug_pre2_test/2/user044_take000_09,2,25,mug_pre2_test/5/user046_take001_03,5,27
mug_pre2_test/0/user032_take004_04,0,15,mug_pre2_test/5/user075_take002_00,5,44
mug_pre2_test/4/user038_take002_00,4,20,mug_pre2_test/1/user017_take001_02,1,8
