path_A,speaker_id_A,yt_id_A,vid_id_A,path_B,speaker_id_B,yt_id_B,vid_id_B
data/Eva_Longoria/1.6/IASj5B-pAyM/9,716,IASj5B-pAyM,9,data/Eric_McCormack/1.6/ZEpT2orkZTc/2,379,ZEpT2orkZTc,2
data/Eli_Wallach/1.6/YN4cTBWM-QE/8,770,YN4cTBWM-QE,8,data/Eric_McCormack/1.6/_BVSKK5mGnY/4,379,_BVSKK5mGnY,4
data/Eva_Longoria/1.6/f8Ms66atECE/9,716,f8Ms66atECE,9,data/Eoin_Macken/1.6/k1jiAINXHRI/21,1015,k1jiAINXHRI,21
data/Eric_Roberts/1.6/31XtFWtF7Sc/9,687,31XtFWtF7Sc,9,data/Eric_Dane/1.6/WxDEVkQKPow/9,983,WxDEVkQKPow,9
data/Ernest_Borgnine/1.6/fAe7DXqrZls/13,650,fAe7DXqrZls,13,data/Eoin_Macken/1.6/BbAymRBSpPM/2,1015,BbAymRBSpPM,2
data/Eva_Green/1.6/IANjHJYjfW8/10,833,IANjHJYjfW8,10,data/Elisabeth_Moss/1.6/Zdmm9Mrr8Ts/2,587,Zdmm9Mrr8Ts,2
data/Eoin_Macken/1.6/CvoEw4AJj6c/1,1015,CvoEw4AJj6c,1,data/Eddie_Izzard/1.6/8cfyJEV7hP8/40,113,8cfyJEV7hP8,40
data/Efren_Ramirez/1.6/IvOQNamNtF4/4,915,IvOQNamNtF4,4,data/Elisabeth_Moss/1.6/m-uILToQ9ss/1,587,m-uILToQ9ss,1
data/Estelle_Harris/1.6/Tgph483ZOQ8/1,518,Tgph483ZOQ8,1,data/Eli_Roth/1.6/h87Y8nir1o0/8,753,h87Y8nir1o0,8
data/Ellen_Wong/1.6/UbApEUoPvzY/1,1156,UbApEUoPvzY,1,data/Elaine_Cassidy/1.6/d7S0qeo6EP0/4,491,d7S0qeo6EP0,4
data/Eleanor_Tomlinson/1.6/zGjY8J48FoE/5,906,zGjY8J48FoE,5,data/Eric_Braeden/1.6/1l9B0dz7gjc/6,364,1l9B0dz7gjc,6
data/Esai_Morales/1.6/WAbHmvQ9zME/6,437,WAbHmvQ9zME,6,data/Ernest_Borgnine/1.6/TMBdUkVfwOg/8,650,TMBdUkVfwOg,8
data/Esai_Morales/1.6/ekqJava7sdE/4,437,ekqJava7sdE,4,data/Eva_Green/1.6/vZ56u00v6WA/2,833,vZ56u00v6WA,2
data/Eartha_Kitt/1.6/8jEAjG6SegY/1,365,8jEAjG6SegY,1,data/Eli_Roth/1.6/vaK4t1-WD4M/7,753,vaK4t1-WD4M,7
data/Eddie_McClintock/1.6/CVUXDNZzcmA/1,699,CVUXDNZzcmA,1,data/Eugene_Levy/1.6/JQtDfEz08aU/19,166,JQtDfEz08aU,19
data/Eugenio_Derbez/1.6/19OCRADWjgA/8,1066,19OCRADWjgA,8,data/Eva_Green/1.6/SBO7kM1IPaY/7,833,SBO7kM1IPaY,7
data/Ellen_Burstyn/1.6/I99R40TUF1s/12,268,I99R40TUF1s,12,data/Emraan_Hashmi/1.6/57KbI2UvGss/11,457,57KbI2UvGss,11
data/Emraan_Hashmi/1.6/ya6VNZp-pXw/20,457,ya6VNZp-pXw,20,data/Eric_Braeden/1.6/L812MIi7ruk/6,364,L812MIi7ruk,6
data/Edgar_Wright/1.6/YloBWJxXzMI/1,943,YloBWJxXzMI,1,data/Eddie_McClintock/1.6/CVUXDNZzcmA/7,699,CVUXDNZzcmA,7
data/Edgar_Wright/1.6/wVIZhnJ79sI/1,943,wVIZhnJ79sI,1,data/Erik_Estrada/1.6/hjvQiiG71rM/20,1106,hjvQiiG71rM,20
data/Eugenio_Derbez/1.6/19OCRADWjgA/6,1066,19OCRADWjgA,6,data/Eric_Braeden/1.6/Jr2KDTTWYgM/1,364,Jr2KDTTWYgM,1
data/Eric_Dane/1.6/WxDEVkQKPow/4,983,WxDEVkQKPow,4,data/Emraan_Hashmi/1.6/ETJd_jPboYc/4,457,ETJd_jPboYc,4
data/Elle_Fanning/1.6/9K2YB1d8BqY/1,1119,9K2YB1d8BqY,1,data/Elodie_Yung/1.6/fGlKVvjgUdY/2,270,fGlKVvjgUdY,2
data/Eli_Roth/1.6/vaK4t1-WD4M/33,753,vaK4t1-WD4M,33,data/Erik_Estrada/1.6/DWT9P35cXT4/5,1106,DWT9P35cXT4,5
data/Efren_Ramirez/1.6/PQHz4fGHPK8/6,915,PQHz4fGHPK8,6,data/Ernest_Borgnine/1.6/8EDKH42GZ1o/33,650,8EDKH42GZ1o,33
data/Emile_Hirsch/1.6/O-V_sInAw5M/6,158,O-V_sInAw5M,6,data/Eric_Braeden/1.6/nkIdfM2BFS0/5,364,nkIdfM2BFS0,5
data/Eva_Green/1.6/2SaEbN8hYz4/8,833,2SaEbN8hYz4,8,data/Ernest_Borgnine/1.6/85wn4sW4CgQ/3,650,85wn4sW4CgQ,3
data/Elaine_Hendrix/1.6/RDFdX3VxjUQ/13,781,RDFdX3VxjUQ,13,data/Elaine_Hendrix/1.6/1CiBWgsHT4E/4,781,1CiBWgsHT4E,4
data/Elaine_Cassidy/1.6/v0Q-VyO4TjI/7,491,v0Q-VyO4TjI,7,data/Eddie_Griffin/1.6/wb6ligRbbZ4/10,1014,wb6ligRbbZ4,10
data/Edgar_Wright/1.6/AeZoMAJ4Ejs/7,943,AeZoMAJ4Ejs,7,data/Emraan_Hashmi/1.6/FXxcN18rX7c/1,457,FXxcN18rX7c,1
data/Emily_Atack/1.6/uiBjIKX_0l8/3,871,uiBjIKX_0l8,3,data/Ezra_Miller/1.6/rxnN8thYzEQ/10,106,rxnN8thYzEQ,10
data/Esai_Morales/1.6/VRCidrXwd1s/34,437,VRCidrXwd1s,34,data/Estelle_Harris/1.6/R5JGtwc4o1M/10,518,R5JGtwc4o1M,10
data/Eli_Wallach/1.6/7yx9A0yzLYk/22,770,7yx9A0yzLYk,22,data/Eugenio_Derbez/1.6/WMd6ot6aLj0/1,1066,WMd6ot6aLj0,1
data/Eoin_Macken/1.6/X7uOKQUYTCM/4,1015,X7uOKQUYTCM,4,data/Eddie_McClintock/1.6/LqcUAxrtYOk/1,699,LqcUAxrtYOk,1
data/Eugenio_Derbez/1.6/nJbBcMdxQU4/11,1066,nJbBcMdxQU4,11,data/Eddie_Kaye_Thomas/1.6/s7vZT3_8Smo/2,865,s7vZT3_8Smo,2
data/Edward_Asner/1.6/Pp-rAswo4Xg/7,16,Pp-rAswo4Xg,7,data/Eddie_Kaye_Thomas/1.6/L9q6XabEpEI/3,865,L9q6XabEpEI,3
data/Eduardo_Noriega/1.6/znxUWA2QAGs/15,112,znxUWA2QAGs,15,data/Eoin_Macken/1.6/rZQMeH1FCvM/8,1015,rZQMeH1FCvM,8
data/Eoin_Macken/1.6/nAtqrkWKIhM/6,1015,nAtqrkWKIhM,6,data/Emile_Hirsch/1.6/A3QwQ3D35rc/12,158,A3QwQ3D35rc,12
data/Eli_Roth/1.6/vaK4t1-WD4M/46,753,vaK4t1-WD4M,46,data/Eli_Roth/1.6/vaK4t1-WD4M/30,753,vaK4t1-WD4M,30
data/Efren_Ramirez/1.6/bmoAV7tZziI/2,915,bmoAV7tZziI,2,data/Eva_Longoria/1.6/c_aEjTGGhZ4/5,716,c_aEjTGGhZ4,5
data/Esai_Morales/1.6/2Er-cV85fc4/2,437,2Er-cV85fc4,2,data/Eric_Roberts/1.6/utAY0zpsv1U/2,687,utAY0zpsv1U,2
data/Elaine_Hendrix/1.6/UkIpd_3qMak/1,781,UkIpd_3qMak,1,data/Eva_Longoria/1.6/Vu8z_WYBGKk/1,716,Vu8z_WYBGKk,1
data/Emraan_Hashmi/1.6/3kzw8lTcUBU/25,457,3kzw8lTcUBU,25,data/Eric_McCormack/1.6/f_k09R8r_cA/4,379,f_k09R8r_cA,4
data/Elisabeth_Moss/1.6/FUqAFZmZJ80/5,587,FUqAFZmZJ80,5,data/Eric_Dane/1.6/nt7dNRvlEHE/1,983,nt7dNRvlEHE,1
data/Eartha_Kitt/1.6/GWXujl-xAVM/20,365,GWXujl-xAVM,20,data/Eric_Roberts/1.6/0mtJFC7OJv4/5,687,0mtJFC7OJv4,5
data/Eartha_Kitt/1.6/GWXujl-xAVM/3,365,GWXujl-xAVM,3,data/Eduardo_Noriega/1.6/8k8XnF__uKc/1,112,8k8XnF__uKc,1
data/Elaine_Hendrix/1.6/NHARUN9OhSo/4,781,NHARUN9OhSo,4,data/Ezra_Miller/1.6/qFrRfhWombs/10,106,qFrRfhWombs,10
data/Eugenio_Derbez/1.6/nJbBcMdxQU4/17,1066,nJbBcMdxQU4,17,data/Eva_Green/1.6/WOjNZFtRwDg/4,833,WOjNZFtRwDg,4
data/Eugene_Levy/1.6/zV7LlMi0eHo/2,166,zV7LlMi0eHo,2,data/Ernest_Borgnine/1.6/mYSVs_d1aMQ/9,650,mYSVs_d1aMQ,9
data/Elaine_Hendrix/1.6/Yw8v8055uPc/1,781,Yw8v8055uPc,1,data/Eli_Roth/1.6/vv4mvANXHcs/1,753,vv4mvANXHcs,1
data/Eli_Wallach/1.6/RNYNkXzY5Hk/19,770,RNYNkXzY5Hk,19,data/Eoin_Macken/1.6/l3J1f06Slfo/7,1015,l3J1f06Slfo,7
data/Erin_Andrews/1.6/uaPd2Ix-wSI/11,919,uaPd2Ix-wSI,11,data/Eleanor_Tomlinson/1.6/CiUT-YF34O4/1,906,CiUT-YF34O4,1
data/Estelle_Harris/1.6/LKDWhdJQFco/22,518,LKDWhdJQFco,22,data/Ernest_Borgnine/1.6/xiFC4HwUcww/13,650,xiFC4HwUcww,13
data/Eva_Green/1.6/XcXDiYWIS6E/14,833,XcXDiYWIS6E,14,data/Eric_McCormack/1.6/z2AISmwaXjo/4,379,z2AISmwaXjo,4
data/Eli_Wallach/1.6/EoCPhxtWUOc/3,770,EoCPhxtWUOc,3,data/Eli_Roth/1.6/vaK4t1-WD4M/45,753,vaK4t1-WD4M,45
data/Edward_Asner/1.6/Pp-rAswo4Xg/23,16,Pp-rAswo4Xg,23,data/Eli_Wallach/1.6/7yx9A0yzLYk/26,770,7yx9A0yzLYk,26
data/Eli_Roth/1.6/r9-0pljhZqs/13,753,r9-0pljhZqs,13,data/Elisabeth_Moss/1.6/FUqAFZmZJ80/7,587,FUqAFZmZJ80,7
